Type,Date,Time,Action,Errors,Ruleset ID,Ruleset Name,Rule ID,Rule Name,Destination List IDs,Destination Lists,Signature List ID,IPS Signature,IPS Signature Severity,IPS Signature CVE,Identities,Identity Types,Policy or Ruleset Identity,Policy or Ruleset Identity Type,Forwarding Method,Internal IP,External IP,Source IP,Destination IP,Source Port,Destination Port,Destination,Hostname,Categories,Integrations,Blocked Categories,Application,Application Category,Query Type,Content Type,Protocol,Filename,File Action (Remote Browser Isolation),Total Size in Bytes,Request Size,Response Size,Packet Size,Referrer,User Agent,Status Code,Direction,Threats,Threat Types,SHA256 Hash,Cisco AMP Result,Cisco AMP Disposition,Cisco AMP Score,Antivirus Result,Potentially Unwanted Applications,Other Antivirus Threats,Detected Response File Type,Isolated State,Data Loss Prevention State,Tenant Controls,Request Method,Umbrella Egress IP Address,Umbrella Egress Data Center
dns,2023-05-13,22:18:24,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,farm.plista.com,,"Advertisements, Business Services (Legacy), Application",,,Plista,Ad Publishing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:24,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,p.rfihub.com,,"Software/Technology (Legacy), Advertisements, Business Services (Legacy), Infrastructure and Content Delivery Networks, Application",,,Sizmek AdServer,Ad Publishing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:24,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,wt.rqtrk.eu,,Infrastructure and Content Delivery Networks,,,,,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:23,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,t.mookie1.com,,"Advertisements, Business Services (Legacy), Application",,,Xaxis,Ad Publishing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:23,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,sync.search.spotxchange.com,,"Advertisements, Business Services (Legacy), Infrastructure and Content Delivery Networks, Application",,,SpotXchange,Ad Publishing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:21,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,m.adnxs.com,,"Advertisements, Business Services (Legacy), Application",,,,,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:20,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,s0.2mdn.net,,"Advertisements, Application",,,Google Marketing Platform,Ad Publishing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:20,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,google-bidout-d.openx.net,,"Business Services (Legacy), Application, Business and Industry",,,OpenX,Ad Publishing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:20,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,partner.googleadservices.com,,"Advertisements, Application",,,Google Secondary Services,Support,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:20,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,update.googleapis.com,,"Software/Technology (Legacy), Application, Computers and Internet",,,Google APIs,Application Development and Testing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
